Elevation,Geometric,Optical,APT,Turbulence,Atmospheric
-19.1877090068759,0,0.0883305866544727,0.597589834349612,0,0.971911274802877
-19.2257310270197,0,0.0883305866544727,0.597589834349612,0,0.971906447364248
-19.2637390326824,0,0.0883305866544727,0.597589834349612,0,0.971901621704958
-19.3017330691205,0,0.0883305866544727,0.597589834349612,0,0.97189679781926
-19.3397131814013,0,0.0883305866544727,0.597589834349612,0,0.971891975701433
-19.3776794600927,0,0.0883305866544727,0.597589834349612,0,0.971887155339978
-19.4156318584847,0,0.0883305866544727,0.597589834349612,0,0.971882336740825
-19.4535704668078,0,0.0883305866544727,0.597589834349612,0,0.971877519892518
-19.4914953293882,0,0.0883305866544727,0.597589834349612,0,0.971872704789429
-19.5294064903685,0,0.0883305866544727,0.597589834349612,0,0.971867891425955
